latitude,longitude,City,Country,Zip,Qty,Qtr
-27.4171391,152.9497833,KEPERRA,Australia,4054,2,Q1-2016
-23.3742199,150.5036469,ROCKHAMPTON,Australia,4700,1,
-27.4756203,153.0153809,SOUTH BRISBANE,Australia,4101,1,
43.9057007,-78.8237991,OSHAWA,Canada,L1G 2B9,1,Q1-2016
43.8841515,125.3036804,CHANGCHUN CITY,China,130000,2,Q1-2016
28.1961498,112.9726791,CHANGSHA,China,410000,1,Q1-2016
30.5785007,103.9469986,CHENGDU,China,610000,2,Q1-2016
29.5509491,106.5193481,CHONGQING,China,400037,1,Q1-2016
37.4424706,116.2857285,DEZHOU,China,253009,1,Q1-2016
23.1133709,113.2552338,GUANGZHOU,China,510000,1,Q1-2016
22.3361568,114.1869659,HONGKONG,China,999077,1,Q1-2016
35.87714,119.979332,JIAONAN,China,266400,1,Q1-2016
28.4514275,117.9561539,SHANGRAO,China,333105,1,Q1-2016
29.9945698,120.5763321,SHAOXING,China,312000,1,Q1-2016
31.3092518,120.6131973,SUZHOU,China,215631,1,Q1-2016
34.7640305,113.6594086,ZHENGZHOU,China,450000,1,Q1-2016
27.6983795,106.9104767,ZUNYI,China,563000,1,Q1-2016
39.9065704,116.3876495,BEIJING,China,100000,11,
35.0371017,104.3860016,DINGXI,China,748100,1,
30.2526245,120.1650772,HANGZHOU,China,310000,1,
35.4040108,116.5893707,JINING,China,272400,1,
36.0699615,103.7502136,LANZHOU,China,730000,1,
30.3020935,108.9303207,LICHUAN,China,445400,1,
28.68507,115.8953094,NANCHANG,China,330000,1,
32.0497818,118.7659836,NANJING,China,210000,1,
25.4506302,119.0219803,PUTIAN,China,351254,1,
36.1104889,120.35569,QINGDAO,China,266000,1,
31.2241459,121.5161362,SHANGHAI,China,200030,2,
35.0753784,117.1615524,TENGZHOU,China,277500,1,
36.8028908,118.0453491,ZIBO,China,255025,1,
60.2893715,25.0295601,VANTAA,Finland,00029,1,Q1-2016
48.9045982,2.5545299,CLICHY,France,92110,1,Q1-2016
45.7812004,3.1368799,CLERMONT FERRAND,France,63003,1,
52.5014076,13.4023285,BERLIN,Germany,13353,1,
35.3292999,25.1240997,HRAKLEIO,Greece,71201,1,
47.1208496,17.9503708,VESZPREM,Hungary,Veszprem 8200,1,
13.0503302,80.188591,CHENNAI,India,Chennai 600100,1,Q1-2016
17.4114094,78.4847794,HYDERABAD,India,Hyderabad 500035,1,Q1-2016
23.09589,80.0495834,JABALPUR,India,Jabalpur 482003,1,Q1-2016
21.1849899,72.8358994,SURAT,India,Surat 395002,1,Q1-2016
8.5051098,76.9514084,TRIVANDRUM,India,Trivandrum 695607,1,Q1-2016
9.9692497,76.2889786,ERNAKULAM,India,Ernakulam 683572,1,
28.4872093,77.4953384,GREATER NOIDA,India,Greater Noida 201306,1,
17.4114094,78.4847794,HYDERABAD,India,Hyderabad 500032,2,
22.6882191,76.0266113,INDORE,India,Indore 452001,1,
18.93013,72.8300934,MUMBAI,India,Mumbai 400062,1,
10.7207098,79.1390533,THANJAVUR,India,Thanjavur 613001,1,
-6.2255058,106.9730682,BEKASI,Indonesia,Bekasi 17144,1,Q1-2016
-6.1714902,106.8275223,JAKARTA,Indonesia,Jakarta 12980,1,Q1-2016
-7.2432561,112.7413788,Surabaya,Indonesia,Surabaya 60252,3,
32.3667679,130.1030121,AMAKUSA ,Japan,amakusashi 8630013,1,Q1-2016
32.4284096,131.6552124,HIYUUGA ,Japan,Hiyuugashi 8830021,1,Q1-2016
35.7686501,139.6712494,ITABASHI,Japan,Itabashiku 1750083,1,Q1-2016
34.4785652,135.4254761,IZUMI,Japan,Kitaaidugunkitaaidum 9696186,1,Q1-2016
35.3231506,135.4155884,Kyoto,Japan,Kyoutoshinakagyouk 6048845,1,Q1-2016
33.8381042,132.7719116,MATSUYAMA,Japan,Matsuyamashi 7900802,1,Q1-2016
34.6775208,135.5129089,OSAKA,Japan,Oosakashi 5330022,1,Q1-2016
35.9569016,139.3890076,SAKADO,Japan,Sakadoshi 3500262,1,Q1-2016
34.3355217,134.047699,TAKAMATSU,Japan,Takamatsushi 7600065,1,Q1-2016
43.7711792,142.3688202,ASAHIKAWA,Japan,Asahikawashi 0788244,2,
35.6422997,139.7486572,CHIYODA,Japan,Chiyodaku 1020074,1,
35.6610489,139.3341675,HACHIOJI,Japan,Hachiouzishi 1920903,1,
34.7194328,137.7301025,HAMAMATSU,Japan,Hamamatsushi 4308558,1,
40.9166794,140.9639282,HIRANAI,Japan,Higashitsugarugunhi 0393321,1,
40.5979729,140.4764862,HIROSAKI,Japan,368045,1,
36.2816467,139.0772705,HIROSHIMASHIMINAMIKU,Japan,7340004,1,
35.6670265,139.4833374,Fuchu,Japan,7260002,1,
35.3401299,139.4935455,Fujisawa,Japan,2510042,1,
35.7195625,139.9333954,ICHIKAWA,Japan,2720021,1,
38.9240646,141.1363678,ICHINOSEKI,Japan,293405,1,
43.1982765,141.7635803,IWAMIZAWA,Japan,680044,1,
31.8199997,130.8300018,KIRISHIMA,Japan,8994352,1,
35.6677094,139.8200989,Koto,Japan,Koutouku 1358550,1,
32.788517,130.7148895,KUMAMOTO,Japan,Kumamotoshi 8610136,2,
36.2324486,137.9669647,MATSUMOTO,Japan,Matsumotoshi 3908505,1,
37.1857986,139.5160065,Minamiaizu-gun,Japan,Minamiaidugun 9670006,1,
35.9500008,136.1925354,SABAE,Japan,Sabaeshi 9160025,1,
40.5654182,141.2707672,Gonohe,Japan,Aomori 391517,1,
34.3355217,134.047699,TAKAMATSU,Japan,Takamatsushi 7618076,1,
36.3262215,139.0143585,TAKASAKI,Japan,Takasakishi 3700001,1,
35.5499992,140.3670044,togane ,Japan,Touganeshi 2838650,1,
34.7191086,136.5168304,TSU,Japan,Tsushi 5140114,1,
35.1529388,126.9051514,GWANGJU,"Korea, Republic of",Gwangju 503-715,1,Q1-2016
49.5998993,6.1177201,LUXEMBOURG,Luxembourg,Luxembourg 2763,1,Q1-2016
51.2533989,22.5515995,LUBLIN,Poland,Lublin 20 954,1,
52.2287483,21.0062504,WARSAW,Poland,Warszawa 01 138,1,
13.5959339,100.7088013,Samutprakarn,Thailand,Samutprakarn 10270,2,Q1-2016
13.7533503,100.5048294,BANGKOK,Thailand,Bangkok 10250,1,
13.5959339,100.7088013,Samutprakarn,Thailand,Bangplee Samuprakarn 10540,1,
39.9429016,32.8605003,ANKARA,Turkey,Ankara 06xxx,1,Q1-2016
40.5500984,34.9548187,CORUM,Turkey,Corum 19000,1,Q1-2016
51.4302406,-0.1657,TOOTING,United Kingdom,SW17 0QT,1,
10.7782297,106.70327,HO CHI MINH CITY,Vietnam,700000,1,
